Filename	Seed	#Vars	#Clauses	Optimal found (LS)	Time (LS)	Optimal found (GLS)	Time (GLS)
test_data/max_4_sat/4sat_1000_10000_20.cnf	1677858024	1000	10000	9858	0.127451	9958	162.629
test_data/max_4_sat/4sat_1000_10000_19.cnf	1677858187	1000	10000	9874	0.146006	9960	149.238
test_data/max_4_sat/4sat_1000_10000_24.cnf	1677858336	1000	10000	9869	0.124857	9963	135.626
test_data/max_4_sat/4sat_1000_10000_39.cnf	1677858472	1000	10000	9865	0.175668	9958	156.968
test_data/max_4_sat/4sat_1000_10000_8.cnf	1677858629	1000	10000	9855	0.152861	9950	182.333
test_data/max_4_sat/4sat_1000_10000_5.cnf	1677858811	1000	10000	9850	0.189842	9957	152.064
test_data/max_4_sat/4sat_1000_10000_30.cnf	1677858964	1000	10000	9858	0.157796	9958	187.516
test_data/max_4_sat/4sat_1000_10000_38.cnf	1677859152	1000	10000	9865	0.146115	9952	170.063
test_data/max_4_sat/4sat_1000_10000_35.cnf	1677859322	1000	10000	9875	0.16684	9963	157.746
test_data/max_4_sat/4sat_1000_10000_2.cnf	1677859480	1000	10000	9873	0.21134	9971	136.755
test_data/max_4_sat/4sat_1000_10000_7.cnf	1677859618	1000	10000	9869	0.191889	9958	157.501
test_data/max_4_sat/4sat_1000_10000_27.cnf	1677859776	1000	10000	9874	0.137212	9966	136.386
test_data/max_4_sat/4sat_1000_10000_45.cnf	1677859913	1000	10000	9872	0.134493	9956	176.814
test_data/max_4_sat/4sat_1000_10000_37.cnf	1677860090	1000	10000	9873	0.139418	9958	182.827
test_data/max_4_sat/4sat_1000_10000_43.cnf	1677860273	1000	10000	9873	0.149174	9963	156.741
test_data/max_4_sat/4sat_1000_10000_13.cnf	1677860430	1000	10000	9858	0.169023	9961	151.613
test_data/max_4_sat/4sat_1000_10000_3.cnf	1677860581	1000	10000	9866	0.178054	9953	173.622
test_data/max_4_sat/4sat_1000_10000_46.cnf	1677860755	1000	10000	9888	0.163696	9958	146.324
test_data/max_4_sat/4sat_1000_10000_12.cnf	1677860902	1000	10000	9862	0.168922	9957	149.465
test_data/max_4_sat/4sat_1000_10000_18.cnf	1677861052	1000	10000	9869	0.159661	9958	164.582
test_data/max_4_sat/4sat_1000_10000_34.cnf	1677861216	1000	10000	9872	0.162145	9961	152.514
test_data/max_4_sat/4sat_1000_10000_11.cnf	1677861369	1000	10000	9877	0.187995	9959	175.698
test_data/max_4_sat/4sat_1000_10000_40.cnf	1677861545	1000	10000	9868	0.159435	9952	171.566
test_data/max_4_sat/4sat_1000_10000_49.cnf	1677861717	1000	10000	9866	0.218016	9958	182.773
test_data/max_4_sat/4sat_1000_10000_1.cnf	1677861900	1000	10000	9874	0.164195	9961	174.828
test_data/max_4_sat/4sat_1000_10000_4.cnf	1677862075	1000	10000	9865	0.143893	9956	147.251
test_data/max_4_sat/4sat_1000_10000_15.cnf	1677862223	1000	10000	9866	0.171735	9962	162.104
test_data/max_4_sat/4sat_1000_10000_26.cnf	1677862385	1000	10000	9878	0.15061	9957	181.725
test_data/max_4_sat/4sat_1000_10000_47.cnf	1677862567	1000	10000	9880	0.174606	9956	171.101
test_data/max_4_sat/4sat_1000_10000_41.cnf	1677862739	1000	10000	9868	0.1432	9960	147.302
test_data/max_4_sat/4sat_1000_10000_42.cnf	1677862886	1000	10000	9883	0.151988	9957	169.587
test_data/max_4_sat/4sat_1000_10000_23.cnf	1677863056	1000	10000	9876	0.14644	9954	177.65
test_data/max_4_sat/4sat_1000_10000_29.cnf	1677863234	1000	10000	9889	0.145221	9964	160.68
test_data/max_4_sat/4sat_1000_10000_17.cnf	1677863395	1000	10000	9901	0.172623	9963	138.286
test_data/max_4_sat/4sat_1000_10000_25.cnf	1677863533	1000	10000	9881	0.155772	9954	173
test_data/max_4_sat/4sat_1000_10000_44.cnf	1677863706	1000	10000	9870	0.127719	9966	142.535
test_data/max_4_sat/4sat_1000_10000_48.cnf	1677863849	1000	10000	9871	0.13732	9959	151.962
test_data/max_4_sat/4sat_1000_10000_14.cnf	1677864001	1000	10000	9854	0.132216	9961	142.697
test_data/max_4_sat/4sat_1000_10000_22.cnf	1677864144	1000	10000	9888	0.155763	9961	147.443
test_data/max_4_sat/4sat_1000_10000_31.cnf	1677864292	1000	10000	9865	0.147293	9958	154.235
test_data/max_4_sat/4sat_1000_10000_36.cnf	1677864446	1000	10000	9871	0.136806	9959	132.049
